"DEPLOYMENT NAME","QUAY TAG","VULNERABILITY ID","DATA SOURCE","VULNERABILITY SEVERITY","PACKAGE NAME","VERSION INSTALLED","FIXED VERSIONS","FIXED STATE""
"quay.io/cloudservices/xjoin-operator","ea91546","CVE-2015-5237","https://nvd.nist.gov/vuln/detail/CVE-2015-5237","High","google.golang.org/protobuf","v1.25.0","[]","unknown"
"quay.io/cloudservices/xjoin-operator","ea91546","CVE-2021-22570","https://nvd.nist.gov/vuln/detail/CVE-2021-22570","Medium","google.golang.org/protobuf","v1.25.0","[]","unknown"
"quay.io/cloudservices/xjoin-operator","ea91546","CVE-2022-21698","https://nvd.nist.gov/vuln/detail/CVE-2022-21698","High","github.com/prometheus/client_golang","v1.7.1","[]","unknown"
"quay.io/cloudservices/xjoin-operator","ea91546","GHSA-c3h9-896r-86jm","https://github.com/advisories/GHSA-c3h9-896r-86jm","High","github.com/gogo/protobuf","v1.3.1","[1.3.2]","fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2005-2541","https://access.redhat.com/security/cve/CVE-2005-2541","Medium","tar","2:1.30-6.el8","[]","wont-fix"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2007-4559","https://access.redhat.com/security/cve/CVE-2007-4559","Medium","platform-python","3.6.8-48.el8_7","[]","not-fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2007-4559","https://access.redhat.com/security/cve/CVE-2007-4559","Medium","python3-libs","3.6.8-48.el8_7","[]","not-fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2007-4559","https://access.redhat.com/security/cve/CVE-2007-4559","Medium","python38","3.8.13-1.module+el8.7.0+15641+2ece4388","[]","not-fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2007-4559","https://access.redhat.com/security/cve/CVE-2007-4559","Medium","python38-devel","3.8.13-1.module+el8.7.0+15641+2ece4388","[]","not-fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2007-4559","https://access.redhat.com/security/cve/CVE-2007-4559","Medium","python38-libs","3.8.13-1.module+el8.7.0+15641+2ece4388","[]","not-fixed"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2010-4529","https://access.redhat.com/security/cve/CVE-2010-4529","Low","kernel-headers","4.18.0-425.3.1.el8","[]","wont-fix"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2011-1017","https://access.redhat.com/security/cve/CVE-2011-1017","Medium","kernel-headers","4.18.0-425.3.1.el8","[]","wont-fix"
"quay.io/cloudservices/insights-inventory","00e4da8","CVE-2011-1180","https://access.redhat.com/security/cve/CVE-2011-1180","Medium","kernel-headers","4.18.0-425.3.1.el8","[]","wont-fix"
